deviceID,GPSlat,GPSlong,GPShour,GPSmin,GPSsec,GPSms,tempC,conduS,pH,turbNTU,date,time
 444,0.0000000,0.0000000,0,0,0,0,28.00,-12121.74,-53.28,0.00, 2019-08-01 , 10:44:00.733470 
 444,0.0000000,0.0000000,0,0,0,0,29.00,935.24,-53.28,0.00, 2019-08-01 , 10:44:01.741471 
 444,0.0000000,0.0000000,0,0,0,0,29.00,-12227.89,-53.28,0.00, 2019-08-01 , 10:44:02.750533 
 444,0.0000000,0.0000000,0,0,0,0,29.50,-11803.27,-53.28,0.00, 2019-08-01 , 10:44:03.759927 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-13395.59,-53.28,0.00, 2019-08-01 , 10:44:04.769773 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-12227.89,-53.28,0.00, 2019-08-01 , 10:44:05.778471 
 444,0.0000000,0.0000000,0,0,0,0,30.50,-10423.27,-53.28,0.00, 2019-08-01 , 10:44:06.789947 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-12227.89,-53.28,0.00, 2019-08-01 , 10:44:07.799399 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-19552.54,-53.28,0.00, 2019-08-01 , 10:44:08.810660 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-10635.58,-53.28,0.00, 2019-08-01 , 10:44:09.822047 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-17323.30,-53.28,0.00, 2019-08-01 , 10:44:10.831239 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-10210.96,-53.28,0.00, 2019-08-01 , 10:44:11.842846 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-9467.88,-53.28,0.00, 2019-08-01 , 10:44:12.851278 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-9680.19,-53.28,0.00, 2019-08-01 , 10:44:13.861607 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-15730.98,-53.28,0.00, 2019-08-01 , 10:44:14.873393 
 444,0.0000000,0.0000000,0,0,0,0,33.00,-16367.91,-53.28,0.00, 2019-08-01 , 10:44:15.884166 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-9467.88,-53.28,0.00, 2019-08-01 , 10:44:16.892708 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-16898.68,-53.28,0.00, 2019-08-01 , 10:44:17.904057 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-9361.73,-53.28,0.00, 2019-08-01 , 10:44:18.913607 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-16686.37,-53.28,0.00, 2019-08-01 , 10:44:19.926030 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-10317.12,-53.28,0.00, 2019-08-01 , 10:44:20.935287 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-15837.14,-53.28,0.00, 2019-08-01 , 10:44:21.945671 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-8937.11,-53.28,0.00, 2019-08-01 , 10:44:22.955971 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-8406.34,-53.28,0.00, 2019-08-01 , 10:44:23.968101 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-9467.88,-53.28,0.00, 2019-08-01 , 10:44:24.976038 
 444,0.0000000,0.0000000,0,0,0,0,30.50,-15624.83,-53.28,0.00, 2019-08-01 , 10:44:25.986945 
 444,0.0000000,0.0000000,0,0,0,0,30.50,-9998.65,-53.28,0.00, 2019-08-01 , 10:44:26.996905 
 444,0.0000000,0.0000000,0,0,0,0,30.50,-14669.44,-53.28,0.00, 2019-08-01 , 10:44:28.006529 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-15518.67,-53.28,0.00, 2019-08-01 , 10:44:29.016032 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-14563.29,-53.28,0.00, 2019-08-01 , 10:44:30.026028 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-15624.83,-53.28,0.00, 2019-08-01 , 10:44:31.034315 
 444,0.0000000,0.0000000,0,0,0,0,29.50,-12121.74,-53.28,0.00, 2019-08-01 , 10:44:32.044262 
 444,0.0000000,0.0000000,0,0,0,0,29.50,-10210.96,-53.28,0.00, 2019-08-01 , 10:44:33.055426 
 444,0.0000000,0.0000000,0,0,0,0,29.50,-15943.29,-53.28,0.00, 2019-08-01 , 10:44:34.065693 
 444,0.0000000,0.0000000,0,0,0,0,29.00,-14350.98,-53.28,0.00, 2019-08-01 , 10:44:35.075224 
 444,0.0000000,0.0000000,0,0,0,0,29.00,-14669.44,-53.28,0.00, 2019-08-01 , 10:44:36.085196 
 444,0.0000000,0.0000000,0,0,0,0,29.00,-13820.21,-53.28,0.00, 2019-08-01 , 10:44:37.095314 
 444,0.0000000,0.0000000,0,0,0,0,29.00,-13607.90,-53.28,0.00, 2019-08-01 , 10:44:38.105271 
 444,0.0000000,0.0000000,0,0,0,0,29.50,-16155.60,-53.28,0.00, 2019-08-01 , 10:44:39.113800 
 444,0.0000000,0.0000000,0,0,0,0,30.00,-9255.57,-53.28,0.00, 2019-08-01 , 10:44:40.121774 
 444,0.0000000,0.0000000,0,0,0,0,31.00,-18597.15,-53.28,0.00, 2019-08-01 , 10:44:41.133575 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-15518.67,-53.28,0.00, 2019-08-01 , 10:44:42.143648 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-9998.65,-53.28,0.00, 2019-08-01 , 10:44:43.152506 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-17110.99,-53.28,0.00, 2019-08-01 , 10:44:44.164679 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-10210.96,-53.28,0.00, 2019-08-01 , 10:44:45.175350 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-9574.04,-53.28,0.00, 2019-08-01 , 10:44:46.186197 
 444,0.0000000,0.0000000,0,0,0,0,33.00,-19234.08,-53.28,0.00, 2019-08-01 , 10:44:47.196378 
 444,0.0000000,0.0000000,0,0,0,0,33.00,-12864.82,-53.28,0.00, 2019-08-01 , 10:44:48.206982 
 444,0.0000000,0.0000000,0,0,0,0,33.00,-18703.30,-53.28,0.00, 2019-08-01 , 10:44:49.218005 
 444,0.0000000,0.0000000,0,0,0,0,33.00,-10210.96,-53.28,0.00, 2019-08-01 , 10:44:50.227935 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-17641.76,-53.28,0.00, 2019-08-01 , 10:44:51.237916 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-19234.08,-53.28,0.00, 2019-08-01 , 10:44:52.248151 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-12121.74,-53.28,0.00, 2019-08-01 , 10:44:53.258917 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-9574.04,-53.28,0.00, 2019-08-01 , 10:44:54.267849 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-11060.20,-53.28,0.00, 2019-08-01 , 10:44:55.278393 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-11909.43,-53.28,0.00, 2019-08-01 , 10:44:56.286839 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-10210.96,-53.28,0.00, 2019-08-01 , 10:44:57.299225 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-11484.81,-53.28,0.00, 2019-08-01 , 10:44:58.309725 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-15306.37,-53.28,0.00, 2019-08-01 , 10:44:59.320572 
 444,0.0000000,0.0000000,0,0,0,0,31.50,-16580.22,-53.28,0.00, 2019-08-01 , 10:45:00.329322 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-11060.20,-53.28,0.00, 2019-08-01 , 10:45:01.340575 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-9043.26,-53.28,0.00, 2019-08-01 , 10:45:02.349416 
 444,0.0000000,0.0000000,0,0,0,0,32.00,-9574.04,-53.28,0.00, 2019-08-01 , 10:45:03.361394 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-15200.21,-53.28,0.00, 2019-08-01 , 10:45:04.372029 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-18809.46,-53.28,0.00, 2019-08-01 , 10:45:05.381225 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-16155.60,-53.28,0.00, 2019-08-01 , 10:45:06.390629 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-17323.30,-53.28,0.00, 2019-08-01 , 10:45:07.401356 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-16367.91,-53.28,0.00, 2019-08-01 , 10:45:08.411894 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-18915.61,-53.28,0.00, 2019-08-01 , 10:45:09.421855 
 444,0.0000000,0.0000000,0,0,0,0,32.50,-10741.73,-53.28,0.00, 2019-08-01 , 10:45:10.432198 
 
